,種目,組,選手,記録,着順,風・備考,区分
0,走高跳,小河　雅広,1m40,3等,-,,
1,走幅跳,石井　裕太,6m30,1等,+3.8/PB(6m17(+1.3)),,
2,走幅跳,櫛田　優,5m96,3等,+3.6,,
3,砲丸投,福井　義光,8m34,2等,-,,
4,砲丸投,久保　謙太,7m79,4等,-,,
5,走高跳,足達　哲也,1m65,1等,-,,OP
6,走高跳,永瀬　翔平,1m25,6等,-,,OP
7,走幅跳,永瀬　翔平,5m42,2等,+2.4,,OP
8,走幅跳,鳥山　夏海,4m90,3等,+2.9/工大新記録(4m79(+1.7)),,OP
9,走幅跳,赤塚　洋介,4m08,4等,+1.1,,OP
10,砲丸投,土田　周治,8m36,2等,-,,OP
11,砲丸投,白井　陸大,6m68,5等,-,,OP
12,砲丸投,野村　勝洋,6m40,8等,-,,OP
13,砲丸投,片瀬　悠喜,6m28,9等,-,,OP
14,走高跳,1,小林　拓己,1.98,1等,優勝/3連覇,決勝
15,走幅跳,1,刈田　浩平,7.10,2等,0.5/2位入賞,決勝
16,円盤投,1,福井　義光,22.28,-,-,決勝
17,やり投,1,福井　義光,38.73,-,-,決勝
18,女子走幅跳,1,鳥山　夏海,DNS,-,-,決勝
19,女子走高跳,1,鳥山　夏海,DNS,-,-,決勝
20,走幅跳,1,刈田　浩平,7.09,2等,+0.7/大会新記録/2位入賞,決勝
21,走幅跳,1,白井　陸大,DNS,-,-,OP
22,走高跳,1,小林　拓己,2.04,1等,優勝/大会新記録,決勝
23,三段跳,1,櫛田　優,12.23,-,+ 2.2/公認記録12m13(+1.1),決勝
24,円盤投,1,久保　謙太,26.69,-,-,決勝
25,やり投,1,福井　義光,34.02,-,-,決勝
26,砲丸投,1,土田　周治,9.01,-,PB,決勝
27,女子走高跳,1,鳥山　夏海,1.30,7等,7位入賞,決勝
28,女子走幅跳,1,鳥山　夏海,4.43,-,-1.4,決勝
29,走高跳,小河　雅広,1m90,1等,-,,
30,走高跳,櫛田　優,1m70,5等,-,,
31,走幅跳,小河　雅広,6m39,2等,風計測なし,,
32,走幅跳,鳥山　夏海,4m67,7等,風計測なし,,
33,三段跳,小河　雅広,13m30,2等,風計測なし,,
34,三段跳,下山　達大,11m79,4等,風計測なし,,
35,砲丸投,土田　周治,9m30,1等,PB,,
36,砲丸投,福井　義光,8m50,3等,PB,,
37,円盤投,土田　周治,21m22,3等,-,,
38,円盤投,福井　義光,21m15,5等,-,,
39,やり投,福井　義光,39m67,3等,PB,,
40,やり投,櫛田　優,24m85,5等,-,,
41,走高跳,鳥山　夏海,1m40,7等,対校と同時スタート,,OP
42,砲丸投,佐藤　巧,6m01,6等,対校と同時スタート,,OP
43,やり投,土田　周治,34m76,4等,対校と同時スタート,,OP
44,やり投,中村　彩人,26m35,8等,対校と同時スタート,,OP
45,走幅跳,1,刈田　浩平,7.28,1,+1.4/歴代3位/優勝,決勝
46,走高跳,1,小林　拓己,2.09,1,PB/ 優勝/ 工大新記録/ 大会タイ記録,決勝
47,三段跳,1,刈田　浩平,13.97,2,+0.3/歴代6位/2位入賞,決勝
48,棒高跳,1,櫛田　優,NM,-,-,決勝
49,円盤投,1,久保　謙太,27.42,11,-,決勝
50,やり投,1,福井　義光,38.24,25,-,決勝
51,砲丸投,1,福井　義光,8.60,15,-,決勝
52,女子走高跳,1,鳥山　夏海,1.45,4,工大新記録/4位入賞,決勝
53,女子走幅跳,1,鳥山　夏海,4.67,6,+0.9/6位入賞,決勝
54,走幅跳,1,刈田　浩平,6.58,20等,+3.0,
55,走高跳,1,小林　拓己,1.95,2等,-,
56,走高跳,1,櫛田　優,記録なし,-,-,OP
57,三段跳,1,櫛田　優,DNS,-,-,
58,やり投,1,福井　義光,40.83,29等,-,
59,円盤投,1,久保　謙太,24.43,23等,-,
60,砲丸投,1,福井　義光,7.86,24等,-,
61,十種競技走幅跳,1,土田　周治,5.14,-,+1.2,
62,十種競技砲丸投,1,土田　周治,8.85,-,-,
63,十種競技走高跳,1,土田　周治,1.50,-,-,
64,十種競技円盤投,1,土田　周治,21.90,-,-,
65,十種競技棒高跳,1,土田　周治,記録なし,-,-,
66,十種競技やり投,1,土田　周治,38.79,-,PB,
67,十種競技やり投,十種競技,1,土田　周治,4538点,-,
68,女子走幅跳,1,鳥山　夏海,4.62,22等,+3.3,
69,女子走高跳,1,鳥山　夏海,記録なし,-,-,
70,女子七種競技走高跳,1,鳥山　夏海,DNS,-,-,
71,女子七種競技砲丸投,1,鳥山　夏海,DNS,-,-,
72,女子七種競技走幅跳,1,鳥山　夏海,DNS,-,-,
73,女子七種競技やり投,1,鳥山　夏海,DNS,-,-,
74,女子七種競技やり投,女子七種競技,1,鳥山　夏海,DNS,-,
