,種目,組,選手,記録,着順,風･備考,gender,competition_name,place,date,heatnum,rank,round,record_h,record_m,record_s,record_cs,wind,electric_timing,official,DNS,decathron,comment,reason
1,100m,3,西嶋　健人,"11""16",2着,0.0,0,第13回13大学対校戦,町田,2016-06-12,3,2,予選,0,0,11,16,0.0,1,1,0,0,-,-
2,100m,4,岩井　梨輝,"11""05",3着,+ 0.4/q/PB,0,第13回13大学対校戦,町田,2016-06-12,4,3,予選,0,0,11,5,0.0,1,1,0,0,+ 0.4/q/PB,-
3,100m,5,米川　晴義,"11""33",2着,0.0,0,第13回13大学対校戦,町田,2016-06-12,5,2,予選,0,0,11,33,0.0,1,1,0,0,-,-
4,100m,1,岩井　梨輝,10″99,8着,+1.1/PB/歴代7位タイ/8位入賞,0,第13回13大学対校戦,町田,2016-06-12,1,8,決勝,0,0,0,0,0.0,1,1,1,0,+1.1/PB/歴代7位タイ/8位入賞,10″99
5,100m,1,森　達也,"11""15",2着,+ 2.8,0,第13回13大学対校戦,町田,2016-06-12,1,2,OP,0,0,11,15,0.0,1,1,0,0,+ 2.8,-
6,100m,1,益田　一毅,"11""16",3着,+ 2.8,0,第13回13大学対校戦,町田,2016-06-12,1,3,OP,0,0,11,16,0.0,1,1,0,0,+ 2.8,-
7,100m,3,白井　陸大,"12""08",2着,+1.5/PB,0,第13回13大学対校戦,町田,2016-06-12,3,2,OP,0,0,12,8,1.5,1,1,0,0,PB,-
8,200m,1,永井　生,"22""59",2着,0.0,0,第13回13大学対校戦,町田,2016-06-12,1,2,予選,0,0,22,59,0.0,1,1,0,0,-,-
9,200m,2,米川　晴義,"22""83",3着,+ 2.4,0,第13回13大学対校戦,町田,2016-06-12,2,3,予選,0,0,22,83,0.0,1,1,0,0,+ 2.4,-
10,200m,5,天野　皓平,"22""35",1着,+2.2 Q,0,第13回13大学対校戦,町田,2016-06-12,5,1,予選,0,0,22,35,0.0,1,1,0,0,+2.2 Q,-
11,200m,1,天野　皓平,"21""93",1着,+1.6/PB/歴代3位/優勝,0,第13回13大学対校戦,町田,2016-06-12,1,1,決勝,0,0,21,93,1.6,1,1,0,0,PB,-
12,400m,2,小長光　貴裕,"52""61",6着,-,0,第13回13大学対校戦,町田,2016-06-12,2,6,予選,0,0,52,61,0.0,1,1,0,0,-,-
13,400m,3,高橋　知也,"49""81",1着,Q,0,第13回13大学対校戦,町田,2016-06-12,3,1,予選,0,0,49,81,0.0,1,1,0,0,Q,-
14,400m,4,宮田　貴史,"52""57",4着,-,0,第13回13大学対校戦,町田,2016-06-12,4,4,予選,0,0,52,57,0.0,1,1,0,0,-,-
15,400m,3,高橋　知也,"49""73",3着,3位入賞,0,第13回13大学対校戦,町田,2016-06-12,3,3,決勝,0,0,49,73,0.0,1,1,0,0,3位入賞,-
16,800m,4,芝江　柾葵,"1'56""73",3着,歴代9位/3位入賞,0,第13回13大学対校戦,町田,2016-06-12,4,3,決勝,0,1,56,73,0.0,1,1,0,0,歴代9位/3位入賞,-
17,800m,4,小林　裕平,"1'59""49",7着,-,0,第13回13大学対校戦,町田,2016-06-12,4,7,決勝,0,1,59,49,0.0,1,1,0,0,-,-
18,800m,4,箱崎　喜郎,"2'00""78",8着,-,0,第13回13大学対校戦,町田,2016-06-12,4,8,決勝,0,2,0,78,0.0,1,1,0,0,-,-
19,1500m,2,松井　将器,"4'00""48",1着,優勝,0,第13回13大学対校戦,町田,2016-06-12,2,1,決勝,0,4,0,48,0.0,1,1,0,0,優勝,-
