,種目,組,選手,記録,着順,風･備考,gender,competition_name,place,date,heatnum,rank,round,record_h,record_m,record_s,record_cs,wind,electric_timing,official,DNS,decathron,comment,reason
1,100m,1,岩井　梨輝,"11""27",2着,-1.1,0,第64回東京地区国公立対校戦,町田,2016-05-29,1,2,予選,0,0,11,27,-1.1,1,1,0,0,-,-
2,100m,2,米川　晴義,"11""37",3着,-0.6,0,第64回東京地区国公立対校戦,町田,2016-05-29,2,3,予選,0,0,11,37,-0.6,1,1,0,0,-,-
3,100m,4,天野　皓平,"11""17",2着,-1.9/q,0,第64回東京地区国公立対校戦,町田,2016-05-29,4,2,予選,0,0,11,17,-1.9,1,1,0,0,q,-
4,100m,1,天野　皓平,"10""95",4着,-1.5/4位入賞,0,第64回東京地区国公立対校戦,町田,2016-05-29,1,4,決勝,0,0,10,95,-1.5,1,1,0,0,4位入賞,-
5,100m,1,永井　生,"11""24",5着,0.3,0,第64回東京地区国公立対校戦,町田,2016-05-29,1,5,OP,0,0,11,24,0.3,1,1,0,0,-,-
6,100m,2,関　駿太,"11""28",1着,0.0,0,第64回東京地区国公立対校戦,町田,2016-05-29,2,1,OP,0,0,11,28,0.0,1,1,0,0,-,-
7,100m,3,益田　一毅,"11""39",2着,-1.1/歴代34位,0,第64回東京地区国公立対校戦,町田,2016-05-29,3,2,OP,0,0,11,39,-1.1,1,1,0,0,歴代34位,-
8,100m,3,尾川　拓巳,"11""58",4着,-1.1/歴代47位,0,第64回東京地区国公立対校戦,町田,2016-05-29,3,4,OP,0,0,11,58,-1.1,1,1,0,0,歴代47位,-
9,100m,4,高橋　慧,DNS,-,-,0,第64回東京地区国公立対校戦,町田,2016-05-29,4,0,OP,0,0,0,0,0.0,1,1,1,0,-,DNS
10,100m,5,石井　裕太,DNS,-,-,0,第64回東京地区国公立対校戦,町田,2016-05-29,5,0,OP,0,0,0,0,0.0,1,1,1,0,-,DNS
11,100m,6,中村　彩人,"11""78",2着,0.0,0,第64回東京地区国公立対校戦,町田,2016-05-29,6,2,OP,0,0,11,78,0.0,1,1,0,0,-,-
12,100m,7,下山　達大,"12""11",2着,-0.6,0,第64回東京地区国公立対校戦,町田,2016-05-29,7,2,OP,0,0,12,11,-0.6,1,1,0,0,-,-
13,100m,8,野村　勝洋,"11""80",1着,0.0/PB,0,第64回東京地区国公立対校戦,町田,2016-05-29,8,1,OP,0,0,11,80,0.0,1,1,0,0,PB,-
14,100m,9,前田　颯,"12""21",3着,-0.1,0,第64回東京地区国公立対校戦,町田,2016-05-29,9,3,OP,0,0,12,21,-0.1,1,1,0,0,-,-
15,100m,10,白井　陸大,"12""34",3着,-1.9,0,第64回東京地区国公立対校戦,町田,2016-05-29,10,3,OP,0,0,12,34,-1.9,1,1,0,0,-,-
16,200m,1,天野　皓平,"22""19",3着,0.0/q,0,第64回東京地区国公立対校戦,町田,2016-05-29,1,3,予選,0,0,22,19,0.0,1,1,0,0,q,-
17,200m,2,永井　生,"22""60",1着,0.8/Q,0,第64回東京地区国公立対校戦,町田,2016-05-29,2,1,予選,0,0,22,60,0.8,1,1,0,0,Q,-
18,200m,3,西嶋　健人,"22""53",4着,0.0,0,第64回東京地区国公立対校戦,町田,2016-05-29,3,4,予選,0,0,22,53,0.0,1,1,0,0,-,-
19,200m,1,天野　皓平,"22""11",3着,-1.0/3位入賞,0,第64回東京地区国公立対校戦,町田,2016-05-29,1,3,決勝,0,0,22,11,-1.0,1,1,0,0,3位入賞,-
20,200m,1,永井　生,"22""62",7着,-1.0/7位入賞,0,第64回東京地区国公立対校戦,町田,2016-05-29,1,7,決勝,0,0,22,62,-1.0,1,1,0,0,7位入賞,-
21,400m,1,高橋　知也,"50""19",1着,Q,0,第64回東京地区国公立対校戦,町田,2016-05-29,1,1,予選,0,0,50,19,0.0,1,1,0,0,Q,-
22,400m,2,宮田　貴史,"51""38",4着,-,0,第64回東京地区国公立対校戦,町田,2016-05-29,2,4,予選,0,0,51,38,0.0,1,1,0,0,-,-
23,400m,3,中嶋　一貴,"52""24",5着,-,0,第64回東京地区国公立対校戦,町田,2016-05-29,3,5,予選,0,0,52,24,0.0,1,1,0,0,-,-
