,種目,組,選手,記録,着順,風･備考,gender,competition_name,place,date,heatnum,rank,round,record_h,record_m,record_s,record_cs,wind,electric_timing,official,DNS,decathron,comment,reason
1,200m,5,天野　皓平,"22""08",5着,+1.1,0,第95回関東インカレ,日産,2016-05-19,5,5,予選,0,0,22,8,1.1,1,1,0,0,-,-
2,400m,1,高橋　知也,DNS,-,-,0,第95回関東インカレ,日産,2016-05-19,1,0,予選,0,0,0,0,0.0,1,1,1,0,-,DNS
3,110mH,2,永島　唯哉,"14""86",3着,-0.7/Q,0,第95回関東インカレ,日産,2016-05-19,2,3,予選,0,0,14,86,-0.7,1,1,0,0,Q,-
4,110mH,2,永島　唯哉,"14""86",4着,-0.4/q,0,第95回関東インカレ,日産,2016-05-19,2,4,準決,0,0,14,86,-0.4,1,1,0,0,q,-
5,110mH,1,永島　唯哉,"14""63",6着,-0.9/6位入賞,0,第95回関東インカレ,日産,2016-05-19,1,6,決勝,0,0,14,63,-0.9,1,1,0,0,6位入賞,-
6,1500m,1,松井　将器,"3'56""62",1着,3部GR/3部優勝,0,第95回関東インカレ,日産,2016-05-19,1,1,決勝,0,3,56,62,0.0,1,1,0,0,3部GR/3部優勝,-
7,5000m,1,松井　将器,"14'19""97",1着,3部GR/3部優勝,0,第95回関東インカレ,日産,2016-05-19,1,1,決勝,0,14,19,97,0.0,1,1,0,0,3部GR/3部優勝,-
8,走高跳,1,小林　拓己,2m00,5等,5位入賞,0,第95回関東インカレ,日産,2016-05-19,1,5,決勝,0,0,2,0,0.0,1,1,0,0,5位入賞,-
9,走幅跳,1,刈田　浩平,7m16,4等,-0.2/歴代4位/3部,0,第95回関東インカレ,日産,2016-05-19,1,4,決勝,0,0,7,16,-0.2,1,1,0,0,歴代4位,-
10,4×100mR,3,天野　皓平西嶋　健人永井　生永島　唯哉,"41""94",5着,-,0,第95回関東インカレ,日産,2016-05-19,3,5,予選,0,0,41,94,0.0,1,1,0,0,-,-
11,4×400mR,2,高橋　知也天野　皓平中嶋　一貴中村　勇太,"3'20""74",5着,歴代20位,0,第95回関東インカレ,日産,2016-05-19,2,5,予選,0,3,20,74,0.0,1,1,0,0,歴代20位,-
