,種目,氏名,記録,風,備考,区分
0,走高跳,小河雅広,1.85,-,7等,決勝
1,走高跳,足達哲也,DNS,-,DNS,決勝
2,やり投,久保謙太,36.07,-,5等,決勝
3,女子走幅跳,鳥山夏海,4.47,+1.5,4等/歴代2位,決勝
4,女子走高跳,鳥山夏海,1.30,-,5等/歴代2位,決勝
5,走高跳,小林拓己,1.90,-,,
6,三段跳,小林拓己,DNS,-,DNS,
7,走高跳,小河雅広,1.85,-,-,
8,三段跳,小林拓己,DNS,-,DNS,
9,走高跳,小林拓己,2.05,,PBタイ,
10,走高跳,小河雅広,1.90,,PBタイ,
11,走高跳,小林拓己,2.00,-,-,
12,走高跳,足達哲也,1.85,-,PBタイ,
13,走幅跳,鳥山夏海,DNS,-,DNS,
14,走高跳,小林拓己,1.95,-,-,
15,三段跳,小林拓己,DNS,-,DNS,
16,円盤投,久保謙太,DNS,-,DNS,
17,走高跳,小河雅広,1.80,-,-,
18,走高跳,小林拓己,1.92,-,-,
19,走高跳,足達哲也,1.75,-,-,
20,走高跳,足達哲也,1.75,-,-,
21,走高跳,小河雅広,NM,-,NM,
22,走高跳,小林拓己,DNS,-,DNS,
