,種目,組,選手,記録,着順,風・備考,区分
0,走高跳,小河　雅広,1m40,3等,-,,
1,走幅跳,石井　裕太,6m30,1等,+3.8/PB(6m17(+1.3)),,
2,走幅跳,櫛田　優,5m96,3等,+3.6,,
3,砲丸投,福井　義光,8m34,2等,-,,
4,砲丸投,久保　謙太,7m79,4等,-,,
5,走高跳,足達　哲也,1m65,1等,-,,OP
6,走高跳,永瀬　翔平,1m25,6等,-,,OP
7,走幅跳,永瀬　翔平,5m42,2等,+2.4,,OP
8,走幅跳,鳥山　夏海,4m90,3等,+2.9/工大新記録(4m79(+1.7)),,OP
9,走幅跳,赤塚　洋介,4m08,4等,+1.1,,OP
10,砲丸投,土田　周治,8m36,2等,-,,OP
11,砲丸投,白井　陸大,6m68,5等,-,,OP
12,砲丸投,野村　勝洋,6m40,8等,-,,OP
13,砲丸投,片瀬　悠喜,6m28,9等,-,,OP
14,走高跳,1,小林　拓己,2.00,5等,5位入賞,決勝
15,3部走幅跳,1,刈田　浩平,7.16,4等,-0.2/歴代4位,決勝
16,走高跳,1,小林　拓己,1.98,1等,優勝/3連覇,決勝
17,走幅跳,1,刈田　浩平,7.10,2等,0.5/2位入賞,決勝
18,円盤投,1,福井　義光,22.28,-,-,決勝
19,やり投,1,福井　義光,38.73,-,-,決勝
20,女子走幅跳,1,鳥山　夏海,DNS,-,-,決勝
21,女子走高跳,1,鳥山　夏海,DNS,-,-,決勝
22,走幅跳,1,刈田　浩平,7.09,2等,+0.7/大会新記録/2位入賞,決勝
23,走幅跳,1,白井　陸大,DNS,-,-,OP
24,走高跳,1,小林　拓己,2.04,1等,優勝/大会新記録,決勝
25,三段跳,1,櫛田　優,12.23,-,+ 2.2/公認記録12m13(+1.1),決勝
26,円盤投,1,久保　謙太,26.69,-,-,決勝
27,やり投,1,福井　義光,34.02,-,-,決勝
28,砲丸投,1,土田　周治,9.01,-,PB,決勝
29,女子走高跳,1,鳥山　夏海,1.30,7等,7位入賞,決勝
30,女子走幅跳,1,鳥山　夏海,4.43,-,-1.4,決勝
31,走高跳,小河　雅広,1m90,1等,-,,
32,走高跳,櫛田　優,1m70,5等,-,,
33,走幅跳,小河　雅広,6m39,2等,風計測なし,,
34,走幅跳,鳥山　夏海,4m67,7等,風計測なし,,
35,三段跳,小河　雅広,13m30,2等,風計測なし,,
36,三段跳,下山　達大,11m79,4等,風計測なし,,
37,砲丸投,土田　周治,9m30,1等,PB,,
38,砲丸投,福井　義光,8m50,3等,PB,,
39,円盤投,土田　周治,21m22,3等,-,,
40,円盤投,福井　義光,21m15,5等,-,,
41,やり投,福井　義光,39m67,3等,PB,,
42,やり投,櫛田　優,24m85,5等,-,,
43,走高跳,鳥山　夏海,1m40,7等,対校と同時スタート,,OP
44,砲丸投,佐藤　巧,6m01,6等,対校と同時スタート,,OP
45,やり投,土田　周治,34m76,4等,対校と同時スタート,,OP
46,やり投,中村　彩人,26m35,8等,対校と同時スタート,,OP
47,走幅跳,1,刈田　浩平,7.28,1,+1.4/歴代3位/優勝,決勝
48,走高跳,1,小林　拓己,2.09,1,PB/ 優勝/ 工大新記録/ 大会タイ記録,決勝
49,三段跳,1,刈田　浩平,13.97,2,+0.3/歴代6位/2位入賞,決勝
50,棒高跳,1,櫛田　優,NM,-,-,決勝
51,円盤投,1,久保　謙太,27.42,11,-,決勝
52,やり投,1,福井　義光,38.24,25,-,決勝
53,砲丸投,1,福井　義光,8.60,15,-,決勝
54,女子走高跳,1,鳥山　夏海,1.45,4,工大新記録/4位入賞,決勝
55,女子走幅跳,1,鳥山　夏海,4.67,6,+0.9/6位入賞,決勝
